time,NAME_1,inadequate,bnds,Y,X,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,Psurf_f_tavg,Qair_f_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qs_tavg,RadT_tavg,Rainf_f_tavg,SWdown_f_tavg,Swnet_tavg,Tair_f_tavg,Wind_f_tavg,SoilMoi00_10cm_tavg,SoilMoi10_40cm_tavg,SoilMoi40_100cm_tavg,SoilMoi100_200cm_tavg,SoilTemp00_10cm_tavg,SoilTemp10_40cm_tavg,SoilTemp40_100cm_tavg,SoilTemp100_200cm_tavg
2023-01-01,Abia,0.2967741935483871,0.5,5.395,7.47188888888891,1.5726633873333334e-05,385.566324,-71.06469940000001,99941.2714,0.013669878866666667,1.5358582513333334,52.585288999999996,39.33231073333333,3.780024613333333e-08,300.27036733333335,3.902663473333334e-06,191.208362,163.9977,299.06720733333333,3.3695481333333333,0.2801458606666667,0.36449488066666663,0.3748068926666666,0.3891329986666667,300.1382186666667,299.6053253333333,299.12155533333333,298.7003726666666
2023-01-01,Abuja,0.2635135135135135,0.5,8.885059153809154,7.134374653124674,2.6717343833333334e-06,342.88672333333335,-111.29637000000001,97471.83350000001,0.007885555283333333,2.6339686666666666,91.25650066666667,6.682007550000001,1.7995122383333334e-09,300.3317216666667,2.8749339166666666e-07,237.37552666666667,210.93903,298.4748716666667,4.5642159,0.17006301166666668,0.3520462733333333,0.35752944833333333,0.3719791783333333,300.1433083333333,299.4594866666667,298.8850816666667,298.51397833333334
2023-01-01,Adamawa,0.3404825737265415,0.5,9.586662237946491,12.585703671467302,5.947346647619047e-06,327.30960666666664,-120.77662714285714,96184.94661904762,0.005087443814285715,2.2562817714285717,75.89066733333333,14.87431388095238,2.506275968945714e-10,299.4551361904762,4.805464027070059e-08,256.6933295238095,213.11049904761907,298.8769780952381,5.4781515333333335,0.1517704719047619,0.3074787623809524,0.31881629285714286,0.3603681733333333,299.26340714285715,298.64300761904764,298.3280447619048,298.3924285714286
2023-01-01,Akwa Ibom,0.3421052631578947,0.5,4.895689655172415,7.864655172413816,2.5727161899551724e-05,396.77769448275865,-60.200415931034485,100550.29127586208,0.015600830551724138,1.2573046079310346,25.840833593103447,64.34363108663793,7.858374179259656e-08,300.13010793103444,5.3462237862068965e-06,175.96852931034482,151.34352862068965,299.7441406896552,3.3330933137931034,0.3241579048275862,0.35698600503448275,0.3713531905517241,0.3862220164137931,300.0361044827586,299.6426693103448,299.19628827586206,298.77394172413796
2023-01-01,Bauchi,0.5328947368421053,0.5,10.975199345443507,10.06978538881072,6.881986589999999e-06,314.94173650000005,-117.5746046,95708.88094999999,0.00464773885,1.4269132949999999,59.0489991,17.211848325,2.5975980274349998e-11,296.818407,1.28974753975e-08,245.33747250000002,194.82928299999998,296.0266725,6.13096353,0.149414345,0.321856258,0.330437251,0.3583636625,296.697754,296.3687615,296.42799249999996,297.03551699999997
2023-01-01,Benue,0.35625,0.5,7.30190119681,8.583860716951666,3.9246076347826085e-06,353.90491739130437,-101.33815391304348,99314.36839130434,0.009095145869565217,2.4235218521739132,95.16437739130434,9.815443613043477,1.2884994157189237e-08,300.40080173913043,8.559952170000001e-07,236.67060652173913,208.00595217391307,298.8112891304348,5.229475565217392,0.16689550217391305,0.3619301660869565,0.36591971217391306,0.3766917456521739,300.2094756521739,299.5085052173913,298.974352173913,298.6575817391304
2023-01-01,Borno,0.4029227557411273,0.5,11.795473953706404,13.15349988203924,5.617254185185186e-06,315.2992896296296,-126.42150322222223,97280.34211111112,0.0038857729148148146,1.5096412088888889,56.107872888888885,14.048752833333333,5.237450220307413e-13,298.4639496296296,1.1008108738894225e-09,254.65571222222223,197.71613851851853,297.489842962963,7.072261618518518,0.14565141925925926,0.32477686333333333,0.3317076051851852,0.3541679437037037,298.34075851851856,298.00954925925924,298.09130444444446,298.7663688888889
2023-01-01,Cross River,0.3397435897435897,0.5,5.85453453884974,8.539941382116025,1.780795358235294e-05,384.4606423529412,-77.35152329411764,99680.86352941176,0.013423923823529412,1.947720217647059,61.20015041176471,44.53769152941177,4.183439435294118e-08,301.0038294117647,3.4506316588235294e-06,210.16830588235294,184.39876764705883,299.78901705882356,3.446817976470588,0.22899821529411765,0.3447993017647059,0.3527912829411765,0.3655914541176471,300.80528823529414,300.00725411764705,299.38972352941175,298.8404
2023-01-01,Edo,0.3161290322580645,0.5,6.656335011606751,5.999665381338744,1.4287502594444443e-05,370.3294955555555,-80.93519783333333,99388.85883333333,0.01183432711111111,1.6147426999999999,60.430435,35.733044166666666,1.3968411272222223e-08,299.35321944444445,3.2335155611111113e-06,204.0068811111111,178.03450444444445,298.5900961111111,3.7258315333333334,0.22161475611111112,0.35126300388888887,0.3573178888888889,0.3673573322222222,299.19875666666667,298.6308338888889,298.26133555555555,298.1039416666667
2023-01-01,Enugu,0.2781456953642384,0.5,6.540014880952381,7.424923115079387,4.3526405425e-06,363.82626375,-93.6118029375,98545.1625625,0.0102528365,2.1518020625,84.66784774999999,10.885953768125,1.52979202e-08,300.63253875,1.659651535e-06,219.389518125,190.46486375,298.736418125,4.4947155,0.19513572125,0.36784255375,0.371585945625,0.381088429375,300.446375625,299.705655625,299.09519,298.56039937500003
2023-01-01,Gombe,0.5592105263157895,0.5,10.297319364353758,11.290996497572658,7.467385799999999e-06,322.152701,-120.037408,96653.144,0.0048621956899999996,2.01948214,63.601007200000005,18.675931900000002,1.57152880995568e-11,298.441172,1.429058546605e-08,252.77391200000002,203.872378,297.563978,6.732624029999999,0.148722427,0.317448897,0.32738293,0.358925954,298.271566,297.74232,297.556759,297.828474
